age,workclass,fnlwgt,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country
37,4,29054,10,3,10,2,0,1,0,0,84,0
24,1,225515,6,3,1,0,0,0,0,0,40,0
21,1,538319,1,3,4,2,0,0,0,0,40,13
18,5,101061,8,3,10,2,0,1,0,0,70,0
20,0,37932,0,3,0,0,0,1,0,0,40,0
47,1,21906,7,3,3,0,0,0,0,0,25,0
31,6,206297,0,4,12,4,0,1,0,0,40,0
29,1,135296,10,3,5,2,0,0,0,0,40,0
43,1,208613,6,2,11,0,0,1,0,0,40,0
59,6,100776,10,1,5,0,0,0,0,0,40,0
25,0,262245,10,3,0,2,0,0,3418,0,40,0
23,1,256755,6,3,8,3,0,0,0,0,40,22
66,1,298834,1,4,12,4,0,1,0,0,40,10
42,6,281315,6,3,3,0,0,1,0,0,50,0
56,1,32446,1,4,6,4,0,1,0,0,40,0
57,1,562558,0,1,5,1,0,0,0,0,40,0
22,0,283510,0,3,0,1,1,1,0,0,45,0
55,1,171467,0,1,6,1,1,1,0,0,48,0
41,1,112283,0,4,6,4,0,1,0,0,60,0
62,1,143312,1,1,4,0,0,0,0,0,60,0
39,1,33355,0,4,7,4,0,1,7298,0,48,0
20,1,148509,0,3,4,0,0,0,0,0,40,0
37,1,187346,12,3,5,3,0,0,0,0,40,2
59,0,93655,1,4,0,4,0,1,0,0,40,0
50,1,204518,2,1,6,0,0,1,0,0,40,0
29,1,228860,1,4,4,4,0,1,0,0,35,0
62,0,123992,0,4,0,4,0,1,0,0,40,0
38,4,357962,14,1,6,0,0,1,0,0,40,0
28,1,137898,0,1,5,0,0,0,0,0,35,0
39,1,245053,6,4,3,4,0,1,0,0,50,0
45,1,112761,0,1,2,1,0,0,0,0,40,0
37,1,188540,0,4,1,4,0,1,0,1902,45,0
34,2,355700,0,2,5,1,0,0,0,0,20,0
20,0,117789,1,3,0,2,0,0,0,0,40,0
27,0,173800,7,3,0,1,2,1,0,0,20,6
35,1,283305,6,3,1,0,0,0,0,0,40,0
32,2,77723,6,1,1,0,2,0,0,0,40,0
35,1,79050,0,3,7,1,1,1,0,0,72,0
44,1,160574,0,4,6,4,0,1,0,0,65,0
29,1,247151,8,1,2,1,0,0,0,0,40,0
27,1,131679,10,1,9,0,0,0,0,0,40,0
56,1,76281,6,5,3,1,0,0,0,0,40,0
34,2,20057,1,5,5,1,2,0,0,0,38,8
46,1,278322,10,4,1,4,0,1,0,0,40,0
40,1,227236,0,4,9,4,0,1,0,0,50,0
41,1,100451,0,4,6,4,0,1,7688,0,38,0
73,1,242769,0,4,2,4,0,1,3471,0,40,16
77,1,149912,6,3,3,0,0,0,0,0,10,0
22,1,106843,3,3,6,3,0,1,0,0,30,0
29,1,163265,0,4,7,4,0,1,0,0,40,0
53,1,276515,6,3,1,2,0,1,0,0,40,22
55,3,146477,1,4,6,4,0,1,0,0,45,0
53,2,156877,0,4,5,4,0,1,15024,0,35,0
23,1,267471,13,3,9,2,0,0,0,0,25,0
28,1,44767,6,3,1,2,0,1,0,0,50,0
50,1,177896,0,4,6,4,0,1,0,0,50,0
48,1,131826,1,4,5,4,0,1,0,0,40,0
25,1,203570,0,2,4,1,1,1,0,0,40,0
38,3,303817,1,1,1,0,1,0,0,0,40,0
42,2,104663,4,3,1,0,0,0,0,0,40,18
34,1,127195,1,4,1,4,0,1,0,0,40,0
47,6,134671,1,4,1,4,0,1,0,0,40,0
35,1,181020,0,3,8,2,0,1,0,0,60,0
28,1,263728,6,4,6,4,0,1,0,0,40,0
44,1,177905,1,1,2,1,0,1,0,0,58,0
46,6,141944,6,4,3,4,0,1,0,0,38,0
33,1,118941,6,4,1,5,0,0,0,0,40,0
28,1,274690,6,3,5,0,0,1,0,0,45,0
29,3,196912,6,3,3,0,1,1,0,0,40,0
48,6,334409,6,4,3,5,0,0,0,0,50,0
49,1,328776,0,1,1,1,0,0,0,0,40,0
65,4,131417,12,4,10,4,0,1,1797,0,21,0
35,1,188041,1,4,1,4,0,1,0,0,50,0
29,1,184596,8,4,6,4,0,1,3942,0,50,0
55,2,153788,1,4,5,5,0,0,0,0,37,0
17,1,207637,8,3,8,2,0,1,0,0,10,0
45,4,285335,2,4,6,4,0,1,0,0,10,0
51,4,256963,1,4,9,4,0,1,0,0,60,0
60,1,389254,0,4,5,4,0,1,0,0,40,0
38,1,132879,0,4,6,4,0,1,7298,0,50,0
59,1,246262,1,4,11,4,0,1,0,0,40,0
51,1,193374,11,4,6,4,0,1,0,0,40,2
27,1,217200,1,3,3,0,0,1,0,0,40,0
36,1,165799,7,4,9,4,0,1,0,0,50,0
18,1,92112,0,3,4,2,0,0,0,0,30,0
25,1,220098,0,3,4,2,0,1,0,0,30,0
58,1,154950,6,4,11,4,0,1,0,0,40,0
22,1,194630,6,3,9,0,0,1,0,0,45,0
33,1,283921,1,4,6,4,0,1,0,0,40,0
20,1,175069,1,3,5,2,0,1,0,0,40,36
40,1,48612,0,3,5,1,1,0,0,0,35,0
28,1,130067,6,4,3,5,0,0,0,0,40,0
21,0,405684,0,3,0,3,0,1,0,0,35,2
25,1,201737,1,1,5,1,0,0,0,0,40,0
29,1,161155,9,4,3,4,0,1,0,0,50,0
20,1,218343,0,3,4,2,0,0,0,0,25,0
35,1,194490,0,1,5,1,0,0,0,0,38,0
39,4,55568,6,4,10,5,0,0,0,0,50,0
42,1,190767,6,1,5,0,0,0,0,0,40,0
32,1,94041,0,4,4,4,0,1,0,0,25,23
39,1,147258,3,4,6,4,0,1,0,0,40,0
38,0,121135,0,4,0,4,0,1,0,0,40,0
37,1,175390,0,1,2,1,1,0,0,0,40,0
64,4,289741,1,4,9,4,0,1,0,0,20,0
31,1,403468,1,2,4,1,0,0,0,0,50,2
70,1,304570,6,0,2,3,2,1,0,0,32,8
44,4,127482,0,4,6,4,0,1,7298,0,50,16
60,1,109511,2,4,8,4,0,1,0,0,40,0
17,1,138293,8,3,8,2,0,1,0,0,15,0
46,1,428405,6,4,1,4,0,1,0,0,40,0
33,1,209900,1,3,11,2,0,1,0,0,20,0
26,1,152452,6,4,11,4,0,1,0,0,50,0
30,1,177675,1,3,6,0,0,1,0,0,40,0
39,6,111499,9,4,5,5,0,0,0,0,20,0
60,1,121832,8,4,9,4,0,1,0,0,40,0
21,2,194096,1,3,4,2,0,0,0,0,10,0
51,1,162745,0,4,6,4,0,1,7298,0,50,0
37,1,291981,0,1,2,0,0,1,0,0,40,0
49,0,261059,3,2,0,2,0,1,2176,0,40,0
70,1,280307,6,4,1,4,0,1,0,0,20,22
39,4,154641,0,1,10,0,0,1,8614,0,50,0
29,1,136985,9,3,11,2,0,1,0,0,40,0
23,1,353010,8,3,6,1,0,1,0,0,35,0
32,1,192039,10,4,3,5,0,0,0,0,40,0
43,4,35236,0,5,6,0,0,1,0,0,40,0
20,0,149478,1,3,0,3,0,0,0,0,25,0
28,1,213081,8,3,4,0,1,0,0,0,40,33
29,1,136077,0,4,9,4,0,1,0,0,60,0
43,1,282069,1,1,6,1,0,1,0,0,42,0
31,1,184307,1,4,1,4,0,1,0,0,50,33
61,1,128230,0,4,3,4,0,1,0,0,30,0
31,6,213307,0,3,5,2,0,0,0,0,40,0
60,1,148522,1,4,6,4,4,1,0,0,40,0
56,1,134286,1,4,1,4,0,1,0,0,45,0
54,1,319697,1,4,3,5,0,0,0,0,40,0
49,4,263568,6,4,1,4,0,1,0,0,60,0
48,1,189462,1,1,8,2,0,1,2176,0,40,0
56,4,125147,3,4,7,4,0,1,0,0,60,0
45,1,168283,0,4,4,4,0,1,0,0,40,0
40,1,174395,0,1,4,0,0,1,0,0,60,3
41,1,144460,1,1,2,2,0,1,0,0,40,18
36,1,188563,1,4,9,4,0,1,5178,0,50,0
41,3,168294,0,4,5,4,0,1,5178,0,40,0
49,6,202467,0,4,12,4,0,1,0,0,40,0
37,4,162834,0,4,9,4,0,1,0,1902,45,0
21,1,512828,0,3,12,2,1,1,0,0,40,0
45,1,166056,0,1,4,1,0,0,0,0,40,0
44,6,387770,1,0,5,1,0,0,0,0,15,0
28,1,116531,0,3,5,0,0,0,0,0,40,0
46,1,165953,6,4,5,4,0,1,0,0,45,0
31,1,235389,2,3,8,0,0,0,0,0,30,38
32,1,175856,1,4,9,4,0,1,0,0,40,0
17,1,171080,13,3,8,2,0,1,0,0,20,0
64,0,108082,1,4,0,4,0,1,0,0,40,0
44,1,63042,6,1,1,2,0,0,0,0,50,0
64,1,143110,6,0,3,0,0,0,0,0,30,0
25,1,122075,6,3,1,0,0,1,0,0,50,0
56,1,659558,13,0,4,1,1,0,0,0,40,0
45,1,148900,6,4,3,4,0,1,0,0,50,0
40,1,356934,9,1,1,0,0,1,0,0,40,0
27,1,132326,1,4,6,4,0,1,0,0,40,0
19,0,124651,8,3,0,2,1,1,0,0,25,0
49,1,291783,6,4,6,4,0,1,0,0,40,0
44,5,133060,1,1,2,0,0,1,0,0,60,0
35,1,205852,0,4,8,4,0,1,0,0,40,0
23,3,39603,1,3,6,1,4,1,0,0,40,0
19,1,262601,0,3,4,2,0,0,0,0,14,0
18,1,240543,8,3,4,2,0,0,0,0,20,0
43,4,176069,0,4,4,5,0,0,0,0,16,0
47,2,80282,4,4,3,4,0,1,0,0,45,0
44,5,456236,1,1,9,2,0,1,0,0,45,0
25,1,404616,6,4,1,4,0,1,0,0,40,0
41,4,144002,6,4,1,4,0,1,0,0,60,0
29,1,53642,10,4,5,4,0,1,0,0,40,0
61,4,244087,0,4,6,4,0,1,0,0,52,0
23,1,162551,6,3,5,0,2,0,0,0,20,0
22,1,34918,6,3,3,0,0,0,0,0,15,17
62,1,244933,7,1,3,0,0,0,0,0,45,0
47,1,386136,9,4,3,4,0,1,0,0,40,0
49,1,188823,0,1,3,0,0,1,0,0,42,0
24,1,216867,3,3,4,3,0,1,0,0,30,2
47,4,83064,6,4,10,4,0,1,0,0,60,0
29,1,144808,1,4,1,2,1,0,0,0,40,0
36,4,135416,1,4,4,5,0,0,0,0,50,0
68,1,224019,1,1,1,0,0,1,0,0,30,0
28,1,160981,1,3,5,0,0,0,0,0,52,0
33,1,188467,0,3,10,0,0,1,0,0,40,0
35,1,95551,0,2,1,0,0,0,0,0,36,0
47,1,193047,4,4,1,4,0,1,99999,0,50,0
51,1,103529,8,1,4,1,1,0,0,0,30,0
43,2,139734,6,4,1,4,0,1,15024,0,40,0
56,1,149686,14,0,2,1,0,0,0,0,40,0
46,4,102308,6,4,9,4,0,1,0,2415,40,0
52,1,270142,10,2,1,1,1,0,0,0,60,0
20,1,123901,0,3,6,2,0,0,0,0,40,0
31,1,263561,6,4,1,4,0,1,0,2246,45,0
47,3,220269,1,4,8,4,0,1,0,0,40,0
35,1,180647,1,3,3,0,1,0,0,0,40,0
55,0,106707,9,4,0,4,1,1,0,0,20,0
31,1,197023,10,4,2,4,4,1,0,0,40,0
25,1,104662,0,3,4,1,0,0,0,0,22,0
42,4,217826,0,4,6,4,1,1,0,0,25,33
19,1,138760,0,3,2,2,0,1,0,0,40,0
19,1,29083,0,3,9,2,4,0,0,0,25,0
30,1,170154,6,3,11,0,0,0,0,0,40,0
48,1,93476,0,2,5,0,0,0,0,2001,40,0
27,1,363053,14,3,14,1,0,0,0,0,24,2
36,1,185405,0,4,5,4,0,1,0,0,50,0
32,1,272376,9,3,5,0,0,0,0,0,40,0
59,1,199713,0,4,6,4,0,1,0,0,40,0
53,1,188644,15,4,4,4,0,1,0,0,40,2
20,0,202994,1,3,0,2,0,0,0,0,16,0
49,5,191681,1,4,1,4,0,1,0,0,50,0
49,1,218357,10,1,3,0,0,0,0,0,38,0
47,1,93557,0,4,10,4,0,1,0,0,40,0
28,1,82488,0,1,11,2,2,0,0,0,40,0
20,1,431745,1,3,5,0,1,0,0,0,14,0
31,1,327825,0,2,2,1,0,0,0,2238,40,0
63,1,188914,0,0,2,3,1,0,0,0,40,28
34,1,191856,1,4,1,5,0,0,7298,0,40,0
26,1,111243,0,3,5,1,0,0,0,0,35,0
40,1,311534,0,4,8,4,0,1,0,0,40,0
31,1,106437,0,3,5,0,0,0,0,0,40,0
53,1,167033,1,3,1,0,1,0,0,0,40,0
41,1,352834,6,4,3,4,0,1,7688,0,55,0
33,1,226525,0,1,1,0,0,1,0,0,60,0
34,2,253121,6,4,3,4,0,1,0,0,40,0
36,1,111128,0,2,6,2,0,1,0,0,40,0
43,1,76460,0,3,5,0,0,0,0,0,40,0
24,1,41838,1,4,6,4,0,1,2407,0,40,0
20,0,304076,8,3,0,2,1,0,0,0,20,0
41,1,221947,1,4,1,4,0,1,0,1887,50,0
55,1,185436,1,4,1,4,0,1,0,0,70,0
34,6,51543,1,3,4,0,0,1,0,0,48,0
36,1,247750,0,4,7,4,1,1,0,0,45,0
44,1,206878,0,3,9,3,0,0,0,0,15,0
42,1,76487,0,4,5,4,0,1,0,0,45,0
32,1,168906,9,3,5,0,0,0,0,0,40,0
59,0,375049,0,4,0,4,0,1,0,0,41,0
22,1,230704,9,3,8,2,1,1,0,0,20,33
40,6,303212,6,4,3,4,0,1,0,0,40,0
63,3,97855,7,4,1,4,0,1,0,0,50,0
46,1,199316,1,4,6,3,2,1,0,0,40,7
33,2,313729,7,3,3,0,0,1,0,0,60,0
55,1,110871,6,4,9,4,0,1,0,0,40,0
69,1,36956,1,4,1,4,0,1,20051,0,50,0
33,4,62932,0,4,6,4,0,1,0,0,40,0
32,1,194981,0,4,11,5,0,0,0,0,36,0
50,1,191062,0,4,8,4,0,1,0,0,40,0
47,3,20956,6,4,6,4,0,1,0,1740,40,0
28,1,595088,1,4,6,4,0,1,0,0,63,0
34,1,136862,11,3,4,3,0,0,0,0,40,32
38,1,99156,0,2,4,2,0,1,0,0,35,0
38,3,238342,6,4,9,4,0,1,7688,0,42,0
51,6,152754,6,4,5,4,0,1,0,0,40,0
24,6,197552,0,3,11,0,0,0,0,0,40,0
46,6,441542,6,4,7,4,1,1,0,0,40,0
29,1,178244,0,4,2,4,0,1,0,0,40,0
59,1,193335,0,4,6,4,0,1,0,0,40,0
18,1,31983,13,3,5,2,0,0,0,0,20,0
38,1,312271,6,4,3,4,0,1,0,0,50,0
43,2,114537,10,4,12,4,0,1,0,0,40,0
23,1,130905,6,3,9,2,0,0,0,0,40,0
46,1,149949,1,4,6,4,0,1,0,0,40,0
25,1,106377,1,3,5,2,0,1,0,0,40,0
21,1,262819,1,3,4,0,0,0,0,0,20,0
35,4,241998,6,4,6,4,0,1,0,0,45,0
38,1,170020,0,4,2,4,0,1,3137,0,45,0
35,1,170263,0,1,1,1,0,0,0,0,40,0
58,6,160586,0,4,10,4,0,1,0,0,40,0
50,5,195322,4,2,3,0,0,1,0,0,40,0
41,1,227968,6,4,3,5,1,0,0,0,35,28
35,1,183892,3,4,6,4,0,1,0,0,40,0
28,1,181291,6,3,1,0,0,0,0,1564,50,0
30,1,154297,3,3,2,1,1,0,0,0,40,0
51,1,95469,0,4,3,4,0,1,0,0,40,0
34,1,344073,0,2,5,0,0,1,0,0,40,0
50,6,124076,6,4,3,5,0,0,0,0,40,0
36,3,203836,1,4,8,4,0,1,0,0,50,0
31,1,367314,0,1,5,0,0,0,0,0,40,0
37,4,121510,0,1,1,1,0,1,0,0,55,0
31,1,342730,9,2,7,0,0,1,0,0,45,0
26,5,176981,6,3,5,2,0,0,0,0,50,0
20,1,227626,0,4,5,4,0,1,0,0,60,0
73,1,220019,14,0,4,1,0,0,0,0,9,0
45,1,179659,6,4,6,4,0,1,3103,0,40,0
43,1,195258,0,4,6,4,0,1,0,0,40,0
53,1,304504,1,4,7,4,0,1,0,1887,45,0
35,1,410034,1,1,9,0,0,1,0,0,50,0
55,1,189933,1,4,7,4,0,1,0,0,84,0
25,0,126797,0,5,0,0,0,1,0,0,40,0
50,4,114758,6,3,6,0,0,1,4416,0,45,0
59,4,174056,6,4,9,4,0,1,15024,0,40,0
30,1,293936,0,3,4,0,0,1,0,0,50,1
39,5,241153,7,4,1,4,0,1,0,0,50,0
33,1,121488,6,3,9,0,0,0,0,0,40,0
17,4,368700,8,3,10,2,0,1,0,0,10,0
40,0,507086,0,1,0,0,1,0,0,0,32,0
37,1,635913,6,3,1,0,1,1,0,0,60,0
46,1,177633,0,4,2,4,0,1,0,0,50,0
30,1,209317,0,3,2,0,0,1,0,0,50,27
52,2,71344,7,4,3,4,0,1,0,0,40,0
55,1,231738,0,1,9,0,0,0,0,0,40,16
28,1,51672,0,3,6,0,0,1,0,0,35,0
29,1,244473,10,4,11,4,0,1,0,2051,40,0
33,4,327902,0,4,7,4,0,1,0,0,45,0
32,1,286675,1,3,1,3,0,1,0,0,40,0
26,6,287233,6,4,3,5,1,0,0,0,40,0
35,1,125933,6,4,6,4,0,1,0,0,50,0
31,1,221167,6,0,4,0,0,0,0,0,30,0
51,5,208302,9,4,9,4,0,1,0,0,38,0
33,1,108328,1,3,5,0,0,0,6849,0,50,0
63,1,101077,9,5,5,3,0,0,0,0,35,0
27,0,291547,6,4,0,0,3,0,0,0,6,2
41,1,95168,0,3,2,1,1,0,0,0,40,0
29,1,168015,0,1,2,1,0,0,0,0,40,0
24,1,227070,3,4,2,5,0,0,0,0,40,0
24,1,190143,6,4,9,4,0,1,0,0,40,0
40,1,210275,0,2,7,1,1,0,0,0,40,0
43,5,198316,6,4,1,4,0,1,0,0,50,0
22,1,130356,1,3,2,2,0,1,0,0,48,0
39,0,362685,15,0,0,0,0,0,0,0,20,29
34,1,225548,6,4,12,4,1,1,0,0,30,0
44,1,153489,0,3,4,1,0,1,0,0,40,0
28,1,148645,9,1,3,0,0,0,0,0,40,0
48,1,167967,0,2,2,1,1,0,0,0,40,0
46,1,58683,6,4,1,4,0,1,15024,0,55,0
32,0,169886,6,3,0,0,0,0,0,0,20,1
27,6,225291,9,3,3,0,0,0,0,0,40,0
23,1,239663,1,3,8,2,0,1,2597,0,50,0
24,1,219510,6,3,4,0,2,1,0,0,32,0
24,2,413345,1,4,3,5,0,0,0,0,50,0
24,1,257500,0,2,2,2,1,0,0,0,40,0
41,1,224799,1,4,6,4,0,1,0,0,40,0
39,1,191807,0,4,9,4,0,1,15024,0,50,0
31,1,206046,0,1,2,0,0,1,0,0,40,0
29,1,39484,6,4,4,4,0,1,7298,0,42,0
18,1,174732,0,3,4,3,1,1,0,0,36,0
60,1,205934,0,2,4,0,0,0,0,0,25,0
23,2,93076,0,3,4,2,1,1,0,0,40,0
25,6,176616,0,3,4,2,0,1,0,0,40,0
69,2,208869,7,4,3,4,0,1,0,0,11,0
17,1,51939,8,3,9,2,0,0,0,0,15,0
44,1,198282,7,4,1,4,0,1,15024,0,40,0
34,1,170769,0,4,5,4,0,1,0,0,50,0
36,1,278576,0,4,7,4,0,1,0,0,50,0
33,6,190027,1,3,5,1,1,0,0,0,18,0
39,6,256997,6,4,6,4,0,1,0,0,40,0
32,0,377017,9,3,0,2,0,1,0,0,40,0
35,1,192251,0,1,5,2,0,0,0,0,40,0
49,6,184428,7,4,5,4,0,1,0,0,40,0
63,1,171635,6,4,9,4,0,1,0,0,40,0
19,1,72355,1,3,4,0,0,1,0,0,20,0
31,2,78291,6,3,3,0,0,0,0,0,40,0
39,1,96452,7,4,1,4,0,1,0,0,55,0
55,1,80167,6,1,3,1,0,0,0,0,40,0
35,1,379959,0,1,4,0,0,0,0,0,40,0
24,1,189749,8,4,6,4,0,1,0,0,40,0
32,1,196342,4,3,3,0,0,1,0,0,40,0
27,1,246974,10,4,9,4,0,1,0,0,40,0
48,1,34845,0,1,6,3,0,1,0,0,40,0
42,1,171841,5,4,3,4,0,1,0,0,60,0
21,1,451996,0,3,9,2,0,1,0,0,40,0
41,1,33331,0,4,6,4,0,1,0,0,45,0
41,1,351161,0,4,9,4,0,1,0,1848,45,0
27,1,188576,6,2,3,0,2,1,0,0,40,8
50,1,31621,0,4,6,4,0,1,0,0,40,0
21,1,249957,0,3,5,2,0,1,0,0,40,0
31,1,198069,0,3,4,2,0,1,0,0,24,0
32,1,76773,1,1,2,1,0,0,0,0,40,0
30,1,194827,1,4,6,4,0,1,0,1740,40,0
54,1,124194,0,0,4,1,0,0,0,0,40,0
47,1,194698,0,4,7,4,0,1,0,0,50,0
20,1,71475,1,3,5,2,0,0,0,0,40,0
54,1,178946,0,4,6,4,0,1,0,0,48,0
22,1,154422,1,1,9,2,2,0,0,0,30,8
18,1,120691,1,3,4,2,1,1,0,0,35,1
30,6,169020,6,4,3,4,0,1,0,0,40,0
58,1,473836,2,0,10,3,0,0,0,0,45,32
25,1,499233,0,1,5,0,0,1,0,0,40,0
38,3,307404,1,1,5,1,0,0,0,0,40,0
31,1,109020,6,3,3,1,3,1,0,0,40,0
18,0,128538,0,3,0,2,0,0,0,0,20,0
38,1,111128,9,4,1,4,0,1,0,0,40,0
53,0,155233,13,4,0,5,0,0,0,0,40,18
35,1,98283,5,3,3,0,2,1,0,0,40,7
38,1,52963,6,3,5,0,0,0,0,0,50,0
31,1,151053,1,4,7,4,0,1,5178,0,40,0
26,1,192208,0,3,12,0,1,0,0,0,32,0
41,1,321824,0,4,6,4,0,1,0,0,8,0
50,1,124963,6,4,1,4,0,1,99999,0,55,0
20,5,104443,1,3,5,2,0,0,0,0,20,0
53,1,291755,10,4,6,4,0,1,0,0,40,0
27,1,93206,1,3,8,2,2,1,0,0,40,0
44,1,103233,6,3,5,1,1,0,0,0,40,0
57,1,317847,7,1,1,0,0,1,0,2824,50,0
51,6,101119,0,4,12,4,0,1,0,0,70,0
66,1,217198,0,4,8,4,0,1,0,0,10,0
34,4,209768,0,4,1,4,0,1,0,0,40,0
19,1,320014,1,3,4,2,0,1,0,0,25,0
35,4,348771,8,4,6,4,0,1,0,0,36,0
25,1,431861,0,4,7,4,0,1,0,0,40,0
27,1,89813,0,3,8,2,0,0,0,0,40,0
30,5,153549,0,4,1,4,0,1,0,0,50,0
22,1,126822,6,3,5,2,0,0,0,0,60,0
64,0,50171,0,4,0,4,0,1,0,0,10,0
44,2,33658,7,4,3,4,0,1,7688,0,50,0
54,4,32778,0,4,9,5,0,0,0,0,30,0
27,1,172009,6,3,1,0,0,0,0,0,40,0
46,1,133169,10,4,6,4,0,1,0,0,40,0
44,1,185798,10,2,6,3,0,1,0,0,48,0
38,1,167725,6,5,7,0,3,1,0,0,84,7
65,1,129426,1,0,5,0,0,0,0,0,40,0
49,1,31339,0,4,6,4,0,1,0,0,40,0
28,4,149324,1,4,3,4,0,1,0,0,7,0
25,1,104439,1,3,5,0,0,0,0,0,50,0
34,0,133861,0,4,0,4,0,1,0,0,25,0
57,1,34269,0,0,7,1,0,1,0,653,42,0
44,2,141858,5,4,3,4,0,1,15024,0,75,0
43,1,168071,0,4,1,4,0,1,0,0,44,0
22,1,229987,1,3,11,3,2,0,0,0,32,0
54,4,36327,2,4,2,4,0,1,0,0,50,0
37,1,61778,6,3,10,0,0,1,0,0,30,0
53,6,181755,7,1,3,0,0,0,0,0,35,0
22,1,85389,0,3,11,2,0,1,0,0,40,0
19,1,302945,1,3,5,2,0,1,0,0,10,40
34,1,346122,0,3,11,0,0,1,0,0,40,0
49,1,170165,0,1,2,3,0,0,0,0,55,0
24,1,353010,6,3,2,0,0,1,0,0,65,0
48,1,280422,1,2,4,0,0,0,0,0,25,25
19,1,178811,0,3,2,2,1,0,0,0,20,0
18,1,90934,1,3,9,2,0,1,0,0,28,0
69,6,286983,1,4,4,4,0,1,0,0,40,0
32,1,317378,6,3,1,2,0,0,10520,0,40,0
32,1,263908,6,4,3,4,0,1,0,0,40,0
22,1,137862,1,3,5,3,0,0,0,0,16,0
28,1,274679,7,3,3,0,0,1,0,0,50,0
48,1,126754,7,4,3,4,0,1,15024,0,40,0
22,1,238917,11,3,2,0,0,1,0,0,24,2
21,1,82497,1,3,4,0,0,0,0,0,30,0
33,1,97939,9,1,2,0,0,0,0,0,42,0
18,0,172214,0,3,0,2,1,0,0,0,20,0
40,1,205706,0,4,1,5,0,0,0,0,40,0
32,1,229566,10,4,4,4,0,1,0,0,60,0
